economy_code,heading_code,ppp,nominal_expenditure,published_real_expenditure,calculated_real_expenditure,relative_error,tolerance,status
AUT,1108000,0.462927669286728,3.9662896980121,8.56783891125648,8.567838911256481160242015411,0.0000000000000001354182807856794355343930600,0.005,PASS
AUT,1111000,0.823576033115387,18.0955905618576,21.9719732413854,21.97197324138537664754538279,0.000000000000001062829194294866000584292203,0.005,PASS
AUT,9020000,0.741225302219391,259.963200019,350.72089314897,350.7208931489699639680599174,0.0000000000000001027367938051392331133475086,0.005,PASS
AUT,9060000,0.627700567245483,49.8735235554291,79.4543229015825,79.45432290158249044747290390,0.0000000000000001202266503225055024144524557,0.005,PASS
AUT,9080000,0.596131861209869,42.4863011967774,71.2699722349181,71.26997223491807661833726109,0.0000000000000003280717250995975370367794705,0.005,PASS
AUT,9100000,0.753840148448944,201.778700018,267.667754806066,267.6677548060655526221000723,0.000000000000001671392582389462074253650530,0.005,PASS
AUT,9110000,0.934314906597137,19.5136468881556,20.8855138137806,20.88551381378056162338537792,0.000000000000001837475245486107630833297727,0.005,PASS
AUT,9120000,0.644749104976654,21.4261767676639,33.2318053678256,33.23180536782556639317437389,0.000000000000001011284979980277793149253631,0.005,PASS
AUT,9140000,0.725675761699677,31.8571876269572,43.9000298870963,43.90002988709630992991939710,0.0000000000000002261939097225703336682039666,0.005,PASS
AZE,1000000,0.457138150930405,93.2032,203.884098954124,203.8840989541240758676303634,0.0000000000000003721115611888447954987379562,0.005,PASS
AZE,1101000,0.888088226318359,18.011,20.2806426954516,20.28064269545160580939705221,0.0000000000000002864503427947522954569704707,0.005,PASS
AZE,1102000,0.660486936569214,1.8277,2.7672008313952,2.767200831395203471455506050,0.000000000000001254500745542100953988099501,0.005,PASS
AZE,1102100,1.20993340015411,0.4131,0.341423751048928,0.3414237510489281358179298836,0.0000000000000003977987163058744100336071138,0.005,PASS
AZE,1102200,0.304443269968033,1.4146,4.64651427554478,4.646514275544784162403524687,0.0000000000000008958120599336756596942408348,0.005,PASS
AZE,1103000,1.18705070018768,4.8553,4.09022125106564,4.090221251065643005475671865,0.0000000000000007347953783874093982019288196,0.005,PASS
AZE,1105000,1.00330746173859,3.0348,3.02479560427182,3.024795604271815750646430810,0.000000000000001404839904947222482487198823,0.005,PASS
AZE,1107000,0.761495053768158,4.5419,5.96445108543385,5.964451085433852691246968067,0.0000000000000004512145257825080441562978943,0.005,PASS
AZE,1108000,0.411964327096939,2.4335,5.9070648595925,5.907064859592503113930935920,0.0000000000000005271536727522600998910558755,0.005,PASS
AZE,1111000,0.585691094398499,1.7708,3.02343678593679,3.023436785936791902526307432,0.0000000000000006292594957769279098557807959,0.005,PASS
AZE,9020000,0.421226531267166,54.1561,128.567637553797,128.5676375537966732330598568,0.000000000000002541595586264621081224442502,0.005,PASS
AZE,9060000,0.173609301447868,5.2159,30.0438971673776,30.04389716737756961213122247,0.000000000000001011448967763273161710878254,0.005,PASS
AZE,9080000,0.172087430953979,3.7516,21.8005462642027,21.80054626420265951686425369,0.000000000000001856978043379802831467568127,0.005,PASS
AZE,9100000,0.482756495475769,48.8043,101.095066472181,101.0950664721809725617403260,0.0000000000000002714104716628320127885600012,0.005,PASS
AZE,9110000,0.667758584022522,2.4846,3.72080578138431,3.720805781384309411126435753,0.0000000000000001582650637647397144120307096,0.005,PASS
AZE,9120000,0.166453212499619,3.7442,22.4940086392659,22.49400863926594518139179996,0.000000000000002008596712330351040823718235,0.005,PASS
AZE,9140000,0.455160081386566,2.0617,4.52961514928855,4.529615149288552811818577064,0.0000000000000006207632402292812905443240965,0.005,PASS
BDI,1000000,609.599182128906,7506.40026705995,12.313665252708,12.31366525270804032498589763,0.000000000000003274815830222589389601705141,0.005,PASS
BDI,1101000,1424.28930664063,2860.8658163987,2.00862690119216,2.008626901192160849018735801,0.0000000000000004226861321518150039182947440,0.005,PASS
BDI,1102000,1400.85534667969,929.221308429654,0.66332424017376,0.6633242401737596304224671294,0.0000000000000005571596973054805459788409064,0.005,PASS
BDI,1102100,3410.44262695313,888.836813871392,0.260622127710582,0.2606221277105821722201324651,0.0000000000000006608039539004476194360585879,0.005,PASS
BDI,1102200,326.037078857422,40.384494558262,0.123864729434416,0.1238647294344162167926311086,0.000000000000001750236989161531594005296625,0.005,PASS
BDI,1103000,910.356018066406,65.3973508440818,0.0718371159702834,0.07183711597028338036084401635,0.0000000000000002733845271819383539903632725,0.005,PASS
BDI,1105000,773.655212402344,60.0671420057519,0.077640712610508,0.07764071261050798055689667747,0.0000000000000002504240709390210293171982945,0.005,PASS
BDI,1107000,1212.96057128906,436.679176024473,0.360011022914287,0.3600110229142874700387899615,0.000000000000001305623328298502938723766751,0.005,PASS
BDI,1108000,612.091674804688,76.3704575344362,0.124769639382541,0.1247696393825405447755563068,0.000000000000003648519350909492965542135226,0.005,PASS
